x,y,z,annotation
263.35714285714283,486.0,150.82142857142858,CD8- T cells
463.66964285714283,484.36607142857144,150.51785714285714,Stomal/Other
452.4130434782609,485.9782608695652,150.52173913043478,Stomal/Other
82.0,485.90909090909093,150.5151515151515,Stomal/Other
191.3939393939394,486.6363636363636,150.24242424242425,Epithelial
445.02127659574467,485.59574468085106,150.61702127659575,CD8+ T cells
333.17721518987344,485.1392405063291,150.72151898734177,Stomal/Other
126.28,484.50666666666666,150.8,Epithelial
87.76543209876543,484.48148148148147,150.55555555555554,Stomal/Other
641.2266666666667,483.36,150.64,Epithelial
518.8709677419355,483.40860215053766,150.41935483870967,Stomal/Other
323.741935483871,485.35483870967744,151.0,Stomal/Other
533.0288461538462,482.75961538461536,150.4375,Stomal/Other
500.99328859060404,483.6711409395973,150.6241610738255,CD8+ T cells
555.0714285714286,482.5,151.0,Epithelial
483.3157894736842,482.44736842105266,150.55263157894737,Stomal/Other
140.125,481.4625,151.0,Epithelial
516.7169811320755,479.3018867924528,150.75471698113208,Stomal/Other
414.8410041841004,478.5397489539749,150.15062761506277,B cells
400.9010989010989,481.0659340659341,150.53296703296704,Epithelial
295.780487804878,481.3089430894309,150.390243902439,CD8- T cells
318.31779661016947,477.21610169491527,150.35169491525423,CD8- T cells
305.3404255319149,480.02127659574467,151.0,CD8- T cells
189.32857142857142,481.74285714285713,150.59285714285716,Epithelial
357.2330097087379,479.02912621359224,150.75728155339806,CD8- T cells
153.4102564102564,479.0769230769231,150.56410256410257,Epithelial
91.23913043478261,478.6521739130435,150.55434782608697,Stomal/Other
556.0,476.67391304347825,151.0,Epithelial
167.888,477.912,150.464,Epithelial
453.5578231292517,475.8843537414966,150.50340136054422,Stomal/Other
593.6666666666666,476.29411764705884,150.84313725490196,Epithelial
381.6951219512195,475.8292682926829,150.54268292682926,Stomal/Other
272.6991869918699,474.2439024390244,150.6747967479675,CD8- T cells
159.1095238095238,475.0809523809524,150.23333333333332,Epithelial
14.5,476.5,151.0,Endothelial cells
547.4754098360655,474.9918032786885,150.44262295081967,Epithelial
291.4188034188034,473.87179487179486,150.4017094017094,B cells
133.484496124031,473.4767441860465,150.0503875968992,Epithelial
82.30645161290323,474.03225806451616,151.0,Stomal/Other
435.4054054054054,472.4864864864865,151.0,Stomal/Other
264.4140625,472.7109375,150.5703125,B cells
237.24352331606218,471.8756476683938,149.80310880829015,Stomal/Other
35.0383631713555,471.4296675191816,148.81074168797954,Endothelial cells
499.3392857142857,471.14285714285717,150.67857142857142,Stomal/Other
425.67164179104475,472.2835820895522,150.42537313432837,B cells
68.02061855670104,472.17525773195877,150.53608247422682,B cells
61.24242424242424,472.06060606060606,150.6969696969697,CD8+ T cells
331.7303370786517,470.17977528089887,150.73033707865167,B cells
94.15441176470588,470.3014705882353,150.43382352941177,CD8- T cells
521.0972222222222,468.6388888888889,150.75,Epithelial
308.1192660550459,467.27522935779814,150.651376146789,B cells
242.71428571428572,468.42857142857144,151.0,B cells
512.7652173913043,467.0695652173913,150.56521739130434,Stomal/Other
405.7352941176471,466.7352941176471,151.0,Stomal/Other
369.5147058823529,466.375,150.5735294117647,Epithelial
356.2471264367816,465.10919540229884,150.39655172413794,CD8- T cells
106.3913043478261,466.7701863354037,150.5776397515528,CD8- T cells
73.7109375,466.5625,150.453125,Stomal/Other
490.28205128205127,464.85470085470087,150.67521367521368,CD8+ T cells
451.2522522522523,465.3693693693694,150.61261261261262,B cells
556.2222222222222,464.58730158730157,150.6031746031746,Epithelial
519.7096774193549,462.38709677419354,151.0,Epithelial
219.41333333333333,463.70666666666665,150.76,Stomal/Other
347.8965517241379,462.7586206896552,150.79310344827587,Stomal/Other
17.934782608695652,464.0326086956522,150.70652173913044,Stomal/Other
7.5,463.69354838709677,150.80645161290323,CD8+ T cells
626.078947368421,462.6578947368421,150.9078947368421,Epithelial
599.6470588235294,461.9117647058824,151.0,Epithelial
535.9310344827586,460.2758620689655,150.7844827586207,Epithelial
88.02564102564102,461.53846153846155,150.80769230769232,CD8- T cells
212.27007299270073,456.1021897810219,150.21167883211677,Stomal/Other
425.7,457.2,150.56,Stomal/Other
400.4864864864865,457.2432432432432,150.73873873873873,Stomal/Other
382.69117647058823,456.6470588235294,151.0,CD8- T cells
436.7931034482759,456.3103448275862,151.0,Stomal/Other
269.24087591240874,455.2189781021898,150.4160583941606,CD8+ T cells
70.21960784313725,455.58039215686273,149.87058823529412,Stomal/Other
525.028735632184,454.367816091954,150.27586206896552,Epithelial
321.07339449541286,456.10091743119267,150.63302752293578,CD8- T cells
233.5125,455.1375,150.7875,CD8- T cells
44.41975308641975,454.7283950617284,150.77777777777777,CD8- T cells
10.18867924528302,455.1132075471698,151.0,Stomal/Other
343.1608040201005,454.1005025125628,150.08040201005025,Stomal/Other
34.87301587301587,455.8095238095238,151.0,Stomal/Other
570.8888888888889,452.69444444444446,150.65277777777777,Stomal/Other
92.08620689655173,452.48275862068965,150.58620689655172,Stomal/Other
600.5564853556485,451.1255230125523,149.4058577405858,Epithelial
465.62666666666667,451.5733333333333,150.77333333333334,Stomal/Other
454.87179487179486,452.12820512820514,151.0,Stomal/Other
278.73636363636365,452.03636363636366,150.62727272727273,CD8+ T cells
629.4430379746835,451.2151898734177,150.70886075949366,Epithelial
485.63870967741934,451.4129032258065,150.4516129032258,CD8- T cells
360.2705882352941,452.6470588235294,150.6705882352941,CD8+ T cells
252.3230769230769,451.73846153846154,151.0,Stomal/Other
186.40804597701148,451.2298850574713,150.316091954023,Stomal/Other
646.6176470588235,449.7647058823529,151.0,Epithelial
562.4468085106383,449.3404255319149,150.7872340425532,Stomal/Other
408.1041666666667,448.9791666666667,151.0,CD8- T cells
223.34615384615384,448.34615384615387,151.0,Stomal/Other
146.36923076923077,449.6307692307692,150.75384615384615,CD8+ T cells
122.80978260869566,451.0054347826087,150.58152173913044,Epithelial
17.67241379310345,447.7068965517241,151.0,Stomal/Other
543.3705882352941,448.4647058823529,150.60588235294117,Epithelial
305.81188118811883,448.3069306930693,150.72277227722773,CD8- T cells
176.08333333333334,448.10897435897436,150.42948717948718,Stomal/Other
419.0,446.0,151.0,Stomal/Other
91.5945945945946,444.5405405405405,150.82432432432432,Stomal/Other
369.8780487804878,444.8780487804878,151.0,Stomal/Other
357.84615384615387,447.5192307692308,150.4551282051282,CD8- T cells
617.4090909090909,444.22727272727275,151.0,Epithelial
313.61728395061726,445.1111111111111,150.54320987654322,CD8- T cells
77.47916666666667,444.5208333333333,150.625,Epithelial
49.320197044334975,442.38916256157637,150.28571428571428,Stomal/Other
608.5875,442.1,150.775,Epithelial
260.50931677018633,441.5031055900621,150.36024844720498,CD8- T cells
238.955223880597,442.53731343283584,150.7910447761194,Stomal/Other
6.708920187793427,442.48826291079814,149.90140845070422,Stomal/Other
521.18,440.69,150.68,Stomal/Other
440.4950495049505,443.91584158415844,150.65346534653466,CD8- T cells
